A01bin001	0	A01	0	400000
A01bin007	7.49	A01	1700000	1800000
A01bin011	18.074	A01	2300000	2500000
A01bin019	31.442	A01	3700000	3900000
A01bin024	36.358	A01	4900000	5300000
A01bin032	46.126	A01	6900000	8100000
A01bin043	57.152	A01	10700000	11300000
A01bin058	67.108	A01	23100000	23300000
A01bin064	75.512	A01	24900000	25000000
A01bin071	82.717	A01	26100000	26300000
A01bin078	94.4	A01	27300000	27700000
A01bin084	102.713	A01	28700000	28900000
A01bin088	106.843	A01	29200000	29500000
A02bin001	0	A02	0	500000
A02bin005	5.49	A02	1200000	1500000
A02bin010	12.952	A02	2000000	2300000
A02bin016	23.375	A02	3000000	3100000
A02bin024	32.38	A02	4500000	4800000
A02bin034	41.382	A02	6300000	7300000
A02bin040	48.303	A02	9900000	10200000
A02bin051	60.046	A02	12700000	13200000
A02bin058	69.23	A02	17900000	23200000
A02bin067	75.021	A02	25600000	26500000
A02bin076	87.327	A02	28500000	28700000
A02bin081	94.157	A02	29900000	30300000
A03bin001	0	A03	0	800000
A03bin003	2.752	A03	1100000	1400000
A03bin008	9.642	A03	2300000	2500000
A03bin015	17.223	A03	3600000	3700000
A03bin021	25.531	A03	4200000	4500000
A03bin032	34.481	A03	7000000	7500000
A03bin039	40.647	A03	9100000	11100000
A03bin048	50.445	A03	13300000	14000000
A03bin051	55.298	A03	15100000	15300000
A03bin057	62.206	A03	17100000	17500000
A03bin059	66.383	A03	17900000	18800000
A03bin063	71.123	A03	19600000	19700000
A03bin070	78.86	A03	21100000	21700000
A03bin074	86.052	A03	22300000	22400000
A03bin079	97.234	A03	23300000	23500000
A03bin090	106.653	A03	27900000	28100000
A03bin101	111.755	A03	37800000	38200000
A04bin003	2.251	A04	700000	900000
A04bin012	10.752	A04	1900000	2000000
A04bin015	16.294	A04	2400000	2800000
A04bin021	23.321	A04	4100000	5200000
A04bin026	27.799	A04	9700000	10000000
A04bin036	33.861	A04	12400000	13200000
A04bin040	38.811	A04	14100000	14300000
A04bin047	47.291	A04	16800000	17100000
A04bin052	53.588	A04	17800000	17900000
A04bin054	54.976	A04	18000000	18500000
A04bin061	60.489	A04	19200000	19300000
A04bin066	68.744	A04	20100000	20200000
A04bin069	71.577	A04	20400000	20700000
A05bin001	0	A05	0	500000
A05bin002	2.726	A05	500000	800000
A05bin007	15.932	A05	1500000	1700000
A05bin009	25.397	A05	1900000	2100000
A05bin017	36.92	A05	3900000	4100000
A05bin024	43.845	A05	5500000	6000000
A05bin031	52.075	A05	8100000	8900000
A05bin040	56.446	A05	14400000	14600000
A05bin064	60.546	A05	20000000	20100000
A05bin076	71.512	A05	22700000	23100000
A05bin078	73.588	A05	23300000	23500000
A05bin088	89.205	A05	24900000	25000000
A05bin096	103.188	A05	26700000	26900000
A05bin099	105.923	A05	27300000	27500000
A06bin000	0	A06	0	200000
A06bin001	1	A06	200000	1200000
A06bin006	6.804	A06	2300000	2700000
A06bin010	17.18	A06	3300000	3500000
A06bin014	22.088	A06	3900000	4300000
A06bin020	30.553	A06	5400000	5800000
A06bin029	42.047	A06	7400000	7700000
A06bin039	50.895	A06	11100000	17800000
A06bin052	59.78	A06	22400000	22900000
A06bin058	69.794	A06	23700000	23800000
A06bin064	78.718	A06	24500000	24600000
A06bin073	88.424	A06	27200000	27400000
A06bin080	98.031	A06	28600000	28700000
A07bin005	3.759	A07	1500000	2400000
A07bin014	9.994	A07	11400000	12100000
A07bin019	16.717	A07	13700000	14100000
A07bin025	25.735	A07	15300000	15500000
A07bin037	35.319	A07	18300000	18600000
A07bin046	44.933	A07	19900000	20100000
A07bin055	58.091	A07	22300000	23100000
A07bin062	66.365	A07	25300000	25600000
A07bin072	77.323	A07	27400000	27500000
A07bin078	90.359	A07	28100000	28700000
A08bin001	7.002	A08	0	600000
A08bin003	10.019	A08	700000	1600000
A08bin011	20.964	A08	3700000	3800000
A08bin046	20.127	A08	12500000	13200000
A08bin051	24.84	A08	13900000	14100000
A08bin059	33.648	A08	16900000	17100000
A08bin065	44.895	A08	17900000	18300000
A08bin069	49.07	A08	19500000	19700000
A08bin075	59.446	A08	20700000	20800000
A08bin085	71.876	A08	22600000	23000000
A09bin001	0	A09	0	500000
A09bin004	6.13	A09	700000	1100000
A09bin007	9.957	A09	1600000	1800000
A09bin012	16.898	A09	2400000	2500000
A09bin020	28.555	A09	4100000	4400000
A09bin030	35.929	A09	5900000	6100000
A09bin041	44.942	A09	8600000	9200000
A09bin082	52.468	A09	23800000	24100000
A09bin108	63.222	A09	33700000	35100000
A09bin117	72.435	A09	36900000	37100000
A09bin125	85.149	A09	38500000	38700000
A09bin126	88.064	A09	38700000	39100000
A09bin135	98.612	A09	41400000	41900000
A09bin139	105.528	A09	42700000	43700000
A09bin145	115.168	A09	44500000	44600000
A10bin001	0	A10	0	800000
A10bin005	4.662	A10	1300000	1500000
A10bin011	9.709	A10	3500000	9000000
A10bin013	9.709	A10	9200000	10700000
A10bin018	15.864	A10	12100000	12300000
A10bin022	22.109	A10	12600000	12700000
A10bin025	24.186	A10	13100000	13300000
A10bin035	33.884	A10	15100000	15300000
A10bin037	41.797	A10	15500000	15700000
A10bin040	49.868	A10	16100000	16300000
A10bin044	58.402	A10	16700000	16900000
A10bin045	60.489	A10	16900000	17500000
A10bin049	66.652	A10	18000000	19700000
A10bin052	70.723	A10	19900000	20100000
